"id","name","type","plugin","status","created","modified"
"1","コンテンツフォルダ管理","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"2","コンテンツ管理","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"3","固定ページ管理","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"4","アクセスルールグループ管理","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"5","アクセスルール管理","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"6","プラグイン管理","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"7","システム基本設定","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"8","サイト管理","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"9","テーマ管理","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"10","ユーザーグループ管理","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"11","ユーザー管理","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"12","ユーティリティ","Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"13","コンテンツフォルダーAPI","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"14","コンテンツAPI","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"15","操作ログAPI","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"16","固定ページAPI","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"17","アクセスルールAPI","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"18","プラグインAPI","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"19","システム基本設定API","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"20","サイトAPI","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"21","テーマAPI","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"22","ユーザーグループAPI","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"23","ユーザーAPI","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"24","ユーティリティAPI","Api/Admin","BaserCore","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"25","ブログカテゴリ管理","Admin","BcBlog","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"26","ブログコメント管理","Admin","BcBlog","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"27","ブログコンテンツ管理","Admin","BcBlog","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"28","ブログ記事管理","Admin","BcBlog","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"29","ブログタグ管理","Admin","BcBlog","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"30","ブログカテゴリAPI","Api/Admin","BcBlog","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"31","ブログコメントAPI","Api/Admin","BcBlog","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"32","ブログコンテンツAPI","Api/Admin","BcBlog","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"33","ブログ記事API","Api/Admin","BcBlog","1","2024-11-04 12:20:06","2024-11-04 12:20:06"
"34","ブログタグAPI","Api/Admin","BcBlog","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"35","メールフォーム設定","Admin","BcMail","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"36","メールコンテンツ管理","Admin","BcMail","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"37","メールフィールド管理","Admin","BcMail","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"38","メールメッセージ管理","Admin","BcMail","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"39","メールフォーム設定API","Api/Admin","BcMail","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"40","メールコンテンツAPI","Api/Admin","BcMail","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"41","メールフィールドAPI","Api/Admin","BcMail","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"42","メールメッセージAPI","Api/Admin","BcMail","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"43","テーマ設定","Admin","BcThemeConfig","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"44","テーマ設定API","Api/Admin","BcThemeConfig","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"45","ウィジェットエリア管理","Admin","BcWidgetArea","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"46","ウィジェットエリアAPI","Api/Admin","BcWidgetArea","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"47","アップロードカテゴリ管理","Admin","BcUploader","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"48","アップローダー設定","Admin","BcUploader","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"49","アップロードファイル管理","Admin","BcUploader","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"50","アップロードカテゴリAPI","Api/Admin","BcUploader","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"51","アップローダー設定API","Api/Admin","BcUploader","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"52","アップロードファイルAPI","Api/Admin","BcUploader","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"53","検索インデックス管理","Admin","BcSearchIndex","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"54","検索インデックスAPI","Api/Admin","BcSearchIndex","1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"55","管理システム その他","Admin",,"1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"56","Web API その他","Api",,"1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"57","Admin Web API その他","Api/Admin",,"1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"58","フロントページ その他","Front",,"1","2024-11-04 12:20:07","2024-11-04 12:20:07"
"59","DubBootstrapUI 管理システム","Admin","DubBootstrapUI","1","2024-11-05 14:58:16","2024-11-05 14:58:16"
"60","DubBootstrapUI Web API","Api","DubBootstrapUI","1","2024-11-05 14:58:16","2024-11-05 14:58:16"
"61","DubBootstrapUI Admin Web API","Api/Admin","DubBootstrapUI","1","2024-11-05 14:58:16","2024-11-05 14:58:16"
"62","DubBootstrapUI フロントページ","Front","DubBootstrapUI","1","2024-11-05 14:58:16","2024-11-05 14:58:16"
"63","コンテンツリンク管理","Admin","BcContentLink","1","2024-11-05 14:58:24","2024-11-05 14:58:24"
"64","コンテンツリンクAPI","Api/Admin","BcContentLink","1","2024-11-05 14:58:24","2024-11-05 14:58:24"
"65","BcCustomContent 管理システム","Admin","BcCustomContent","1","2024-11-05 14:58:31","2024-11-05 14:58:31"
"66","BcCustomContent Web API","Api","BcCustomContent","1","2024-11-05 14:58:31","2024-11-05 14:58:31"
"67","BcCustomContent Admin Web API","Api/Admin","BcCustomContent","1","2024-11-05 14:58:31","2024-11-05 14:58:31"
"68","BcCustomContent フロントページ","Front","BcCustomContent","1","2024-11-05 14:58:31","2024-11-05 14:58:31"
"69","お気に入りAPI","Api/Admin","BcFavorite","1","2024-11-05 14:58:38","2024-11-05 14:58:38"
